醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,364,161,2020/02/09 08:37:06
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,204,52,2020/02/09 08:37:06
2331170017,新北市林口區衛生所,新北市林口區忠孝二路５５號,(02)26068760,200,50,2020/02/09 08:37:06
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,(02)26656272,202,50,2020/02/09 08:37:06
2331210016,新北市三芝區衛生所,新北市三芝區中山路１段１２號,(02)26362007,200,50,2020/02/09 08:37:06
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,(02)24951015,186,140,2020/02/09 08:37:06
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,(02)24901431,178,44,2020/02/09 08:37:06
2331290014,新北市烏來區衛生所,新北市烏來區新烏路５段１０９號,(02)26617200,198,50,2020/02/09 08:37:06
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,(03)5932004,200,92,2020/02/09 08:37:06
2333080016,新竹縣新豐鄉衛生所,新竹縣新豐鄉重興村萃豐路２１號,(03)5591150,200,50,2020/02/09 08:37:06
2333120015,新竹縣峨眉鄉衛生所,新竹縣峨眉鄉峨眉村峨眉街２鄰５號,(03)5800314,234,124,2020/02/09 08:37:06
2333140017,新竹縣五峰鄉衛生所,新竹縣五峰鄉大隘村六鄰９９號,(03)5851005,238,86,2020/02/09 08:37:06
2334110013,宜蘭縣大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽４０號,(03)9801175,130,96,2020/02/09 08:37:06
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路１７號,(037)822024,186,82,2020/02/09 08:37:06
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村１４鄰８－２號,(037)542755,14,58,2020/02/09 08:37:06
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村１３０之６號,(037)931309,0,48,2020/02/09 08:37:06
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村２鄰７２號,(037)941054,330,128,2020/02/09 08:37:06
2336210034,臺中市和平區梨山衛生所,臺中市和平區梨山里中正路６８號,(04)25989540,92,44,2020/02/09 08:37:06
2337160015,彰化縣埔鹽鄉衛生所,彰化縣埔鹽鄉好修村員鹿路二段５８號,(04)8653596,200,50,2020/02/09 08:37:06
2338050018,南投縣集集鎮衛生所,南投縣集集鎮民生路１０６號,(049)2762015,200,50,2020/02/09 08:37:06
2338070010,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段２０號,(049)2752002,0,22,2020/02/09 08:37:06
2338120015,南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路４５號,(049)2791148,206,90,2020/02/09 08:37:06
2340170016,嘉義縣大埔鄉衛生所,嘉義縣大埔鄉大埔村５３－１號,(05)2521214,94,58,2020/02/09 08:37:06
2341140012,臺南市官田區衛生所,臺南市官田區隆田里中山路一段１２８號,(06)5791493,400,100,2020/02/09 08:37:06
2341250013,台南市南化區衛生所,臺南市南化區南化里２２６－１號,(06)5771139,209,98,2020/02/09 08:37:06
2341300018,臺南市龍崎區衛生所,臺南市龍崎區崎頂里新市子１５８號,(06)5941397,226,150,2020/02/09 08:37:06
2342080015,高雄市仁武區衛生所,高雄市仁武區仁武里地政街２３號,(07)3711434,200,50,2020/02/09 08:37:06
2342130010,高雄市田寮區衛生所,高雄市田寮區南安里崗北路３２號,(07)6361504,190,130,2020/02/09 08:37:06
2342180010,高雄市永安區衛生所,高雄市永安區永安路２６號,(07)6912015,198,72,2020/02/09 08:37:06
2342250017,高雄市茂林區衛生所,高雄市茂林區茂林里茂林巷８－４號,(07)6801046,260,90,2020/02/09 08:37:06
2342260013,高雄市桃源區衛生所,高雄市桃源區桃源里南進巷１８８－１號,(07)6861126,504,156,2020/02/09 08:37:06
2342270019,高雄市那瑪夏區衛生所,高雄市那瑪夏區瑪雅里６鄰平和巷２５２號,(07)6701142,558,156,2020/02/09 08:37:06
2343240015,屏東縣滿州鄉衛生所,屏東縣滿州鄉滿州村中山路３１號,(08)8801279,288,82,2020/02/09 08:37:06
2343260017,屏東縣三地門鄉衛生所,屏東縣三地門鄉三地村行政街４號,(08)7991284,356,114,2020/02/09 08:37:06
2343270013,屏東縣霧台鄉衛生所,屏東縣霧台鄉霧台村神山巷６８號,(08)7902232,658,177,2020/02/09 08:37:06
2343280019,屏東縣瑪家鄉衛生所,屏東縣瑪家鄉北葉村風景巷８６號,(08)7991164,244,102,2020/02/09 08:37:06
2343290015,屏東縣泰武鄉衛生所,屏東縣泰武鄉佳平村１７９號,(08)7832059,560,150,2020/02/09 08:37:06
